,f1,f2
SYF,0.03814096003770828,0.011564753949642181
SYK,0.03830854594707489,0.011640690267086029
SYY,0.03787337243556976,0.011022426187992096
T,0.037732578814029694,0.010985076427459717
TAP,0.03754165768623352,0.010436967015266418
TDG,0.038847945630550385,0.01270437240600586
TDY,0.03796336054801941,0.011224508285522461
TECH,0.03811365365982056,0.011903442442417145
TEL,0.03852112591266632,0.012299299240112305
TER,0.038216568529605865,0.0120864138007164
TFC,0.037069641053676605,0.010046526789665222
TGT,0.03734118491411209,0.010251142084598541
TJX,0.038351915776729584,0.011749215424060822
TKO,0.038558751344680786,0.01269705593585968
TMO,0.037325844168663025,0.010163366794586182
TMUS,0.03832421451807022,0.011848561465740204
TPL,0.03728023171424866,0.010394759476184845
TPR,0.03748690336942673,0.010354489088058472
TRGP,0.03855963796377182,0.012930229306221008
TRMB,0.03822243958711624,0.012256726622581482
TROW,0.037713423371315,0.011339426040649414
TRV,0.03735937923192978,0.0101981982588768
TSCO,0.03775489330291748,0.010766938328742981
TSLA,0.03846541792154312,0.012184806168079376
TSN,0.03779076784849167,0.010999612510204315
TT,0.038289234042167664,0.011678725481033325
TTD,0.03801006078720093,0.01118142157793045
TTWO,0.03849358111619949,0.012028977274894714
TXN,0.03817599266767502,0.012222982943058014
TXT,0.038105472922325134,0.011544585227966309
TYL,0.0384259968996048,0.012033767998218536
UAL,0.03848842531442642,0.012132853269577026
UDR,0.037933021783828735,0.011895820498466492
UHS,0.03880622982978821,0.012638948857784271
ULTA,0.0384020060300827,0.01194954663515091
UNH,0.0376206636428833,0.01071438193321228
UNP,0.03785043954849243,0.011015526950359344
UPS,0.038083210587501526,0.011854730546474457
URI,0.03928595036268234,0.014292895793914795
USB,0.03785239905118942,0.011222809553146362
V,0.03819357603788376,0.011550158262252808
VLO,0.03820110112428665,0.011838927865028381
VMC,0.038788847625255585,0.012603528797626495
VRSK,0.037781164050102234,0.010789021849632263
VRSN,0.03778917342424393,0.010885946452617645
VRTX,0.03794361650943756,0.011057727038860321
VST,0.03837313503026962,0.011911638081073761
VTR,0.03821053355932236,0.012013949453830719
VTRS,0.03778109699487686,0.011169329285621643
VZ,0.03816778212785721,0.011701978743076324
WAB,0.038735195994377136,0.012858778238296509
WAT,0.03778593987226486,0.011089988052845001
WBA,0.035157449543476105,0.007770717144012451
WBD,0.03739343583583832,0.011547580361366272
WDAY,0.03812147676944733,0.011484697461128235
WDC,0.036955349147319794,0.009875670075416565
WEC,0.03730136901140213,0.010196037590503693
WELL,0.03801816701889038,0.011810503900051117
WFC,0.03804425895214081,0.01161273568868637
WM,0.03837165981531143,0.011931568384170532
WMB,0.03864534944295883,0.012602046132087708
WMT,0.03787832707166672,0.010931678116321564
WRB,0.03790903836488724,0.011090829968452454
WSM,0.03797265142202377,0.011421747505664825
WST,0.03855379670858383,0.012138955295085907
WTW,0.03785395622253418,0.010935790836811066
WY,0.03894822299480438,0.013809114694595337
WYNN,0.03786376118659973,0.010933339595794678
XEL,0.037229426205158234,0.01004735380411148
XOM,0.037941209971904755,0.011391282081604004
XYL,0.03786598891019821,0.01101876050233841
XYZ,0.03811420500278473,0.011925563216209412
YUM,0.037846729159355164,0.011014014482498169
ZBH,0.03808628022670746,0.011290602385997772
ZBRA,0.03839439898729324,0.013638898730278015
ZTS,0.037833452224731445,0.011037953197956085
